"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","Note"
"1","9","C1, C7, C9, C11, C12, C13, C14, C15, C21","100nF","footswitch-rescue:C","Capacitors_SMD:C_0603","~","C1608X7R1E104K080AA",""
"2","3","C2, C8, C16","10uF","footswitch-rescue:C","Capacitors_SMD:C_0805","","GRM219R61E106KA12D",""
"3","2","C3, C17","1uF","footswitch-rescue:C","Capacitors_SMD:C_0805","","C2012X7R1E105K125AB",""
"4","2","C4, C6","18pF","footswitch-rescue:C","Capacitors_SMD:C_0603","","C1608C0G1H180J080AA",""
"5","1","C5","10uF","footswitch-rescue:CP1","Capacitors_SMD:c_elec_5x5.3","~","UWX1E100MCL1GB",""
"6","1","C10","100uF","footswitch-rescue:CP1","Capacitors_SMD:c_elec_6.3x5.3","~","UWX1C101MCL1GB",""
"7","1","C19","10nF 500V","footswitch-rescue:C","Capacitors_SMD:C_1206","","501R18W103KV4E",""
"8","1","D1","CGRA4007-G","footswitch-rescue:D","Diodes_SMD:Diode-SMA_Standard","~","CGRA4007-G",""
"9","1","D2","1N4148","footswitch-rescue:D","Diodes_SMD:SOD-323","","1N4148WX-TP",""
"10","1","D3","1N5819","footswitch-rescue:D_Schottky","Diodes_SMD:SOD-123","","1N5819HW-7-F",""
"11","4","D5, D6, D7, D8","LED_RGB","footswitch-rescue:LED_RGB","LEDs:LED-RGB_PLLC-6","","LTRBGFSF-ABCB-QKYO-Z",""
"12","2","DS1, DS2","ERM1602FS-6 3.3V","footswitch-rescue:RC1602A-GHW-ESX","local-footprints:WC1602A","","ERM1602FS-6 3.3V","3.3V display"
"13","6","H1, H2, H3, H4, H5, H6","HOLE","footswitch-rescue:CONN_01X01","local-footprints:M3-screw-hole","","","not a component"
"14","2","H7, H8","KEYSTONE","footswitch-rescue:CONN_02X02","local-footprints:Keystone-7790","","Keystone 7790",""
"15","1","J1","CC_MAIN","footswitch-rescue:RJ45","local-footprints:54602-908LF","","54602-908LF",""
"16","1","J2","CC_NEXT","footswitch-rescue:RJ45","local-footprints:54602-908LF","","54602-908LF",""
"17","4","P1, P2, P4, P5","FOOT","footswitch-rescue:CONN_01X02","Pin_Headers:Pin_Header_Angled_1x02","","M20-9960245","place on the back side"
"18","1","P3","CHAIN","footswitch-rescue:CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","do not place"
"19","1","P6","CONN_01X12","footswitch-rescue:CONN_01X12","Pin_Headers:Pin_Header_Straight_1x12","","68016-112HLF",""
"20","1","P7","USB_OTG","footswitch-rescue:USB_OTG","Connect:USB_Mini-B","","10033526-N3212LF",""
"21","1","P8","CONN_01X12","footswitch-rescue:CONN_01X12","Pin_Headers:Pin_Header_Angled_1x12","","68016-112HLF",""
"22","1","P9","SWD","footswitch-rescue:CONN_02X05","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm","","","do not place"
"23","1","P10","CPU_RESET","footswitch-rescue:CONN_01X02","Resistors_SMD:R_0402","","","do not place"
"24","5","Q1, Q3, Q4, Q7, Q8","2N7002","footswitch-rescue:Q_NMOS_GSD","Housings_SOT-23_SOT-143_TSOT-6:SOT-23","","2N7002P,215",""
"25","1","Q2","BC857","footswitch-rescue:Q_PNP_BEC","Housings_SOT-23_SOT-143_TSOT-6:SOT-23","","BC857B,215",""
"26","1","Q5","FDN306P","footswitch-rescue:Q_PMOS_GSD","local-footprints:SOT-23-fairchild","","FDN306P_F095",""
"27","1","Q6","IRFML8244TRPBF","footswitch-rescue:Q_NMOS_GSD","Housings_SOT-23_SOT-143_TSOT-6:SOT-23","","IRFML8244TRPBF",""
"28","13","R1, R2, R3, R4, R8, R10, R11, R12, R13, R17, R18, R39, R40","10K","footswitch-rescue:R","Resistors_SMD:R_0603","~","RMCF0603JT10K0",""
"29","1","R5","3K","footswitch-rescue:R","Resistors_SMD:R_0603","","MCR03ERTF3001",""
"30","3","R6, R19, R38","100K","footswitch-rescue:R","Resistors_SMD:R_0603","","RMCF0603JT100K",""
"31","1","R7","24K","footswitch-rescue:R","Resistors_SMD:R_0603","","MCR03ERTF2402",""
"32","2","R9, R21","2K4","footswitch-rescue:R","Resistors_SMD:R_0603","","","do not place"
"33","1","R14","1K5","footswitch-rescue:R","Resistors_SMD:R_0603","","MCR03ERTF1501",""
"34","2","R15, R22","2K","footswitch-rescue:R","Resistors_SMD:R_0603","","RMCF0603JT2K00",""
"35","1","R16","100R","footswitch-rescue:R","Resistors_SMD:R_0805","","ERJ-P06F1000V",""
"36","1","R20","100R","footswitch-rescue:R","Resistors_SMD:R_0603","","RMCF0603JT100R",""
"37","12","R23, R24, R25, R28, R29, R30, R31, R32, R33, R34, R35, R36","220R","footswitch-rescue:R","Resistors_SMD:R_0603","~","RMCF0603JT220R",""
